Letter,Spoken Form
a,alpha
b,bravo
c,charlie
d,delta
e,echo
f,foxtrot
g,golf
h,hotel
i,india
j,julia
k,kilo
l,lima
m,mike
n,november
o,oscar
p,papa
q,quebec
r,romeo
s,sierra
t,tango
u,uniform
v,victor
w,whiskey
x,ex ray
y,yankee
z,zulu
